country,countryLabel,language,type,count
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7918,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9217,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25433,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,496
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,13
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13248,native,6
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,4
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,674
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,4
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q809,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q4624,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13248,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,752
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,7
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,4
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9027,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q6654,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q809,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1321,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9063,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q35497,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q327274,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,839
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,12
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,10
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,8
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q809,native,6
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,6
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13248,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q143,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7918,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9078,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9288,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q25433,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q28185,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,840
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,10
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,7
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,4
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,2
