country,countryLabel,ethnicGroup,ethnicGroupLabel,genderCategory,count
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q2972784,Armenian Argentine,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q49542,Russians,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q19109,Montenegrins,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q106713,mestizo,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q852425,Tehuelche,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q3267254,Afro-Uruguayan,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q34069,Ashkenazi Jews,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q126756,Basque people,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q79797,Armenians,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q4117143,Lebanese Argentines,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q752526,Galicians,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q899213,Spanish Argentines,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1779257,Colla People,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q235155,white people,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1976275,Ukrainian Argentine,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1976275,Ukrainian Argentine,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q5916636,Romanian Argentines,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q4789371,Argentine Americans,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q4789371,Argentine Americans,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q34069,Ashkenazi Jews,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q3088284,Afro-Argentines,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q2606511,Lebanese people,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1349118,Selk'nam people,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q3514225,Croats in Argentina,Female,1
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q79797,Armenians,Male,475
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q79797,Armenians,Female,63
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q79797,Armenians,Unknown / not stated,23
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Male,4
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q200885,Yazidis,Male,2
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q44806,Ukrainians,Male,1
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q12223,Kurds,Female,1
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q539051,Greeks,Male,1
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q12223,Kurds,Male,1
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q377085,Assyrian people,Female,1
http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Unknown / not stated,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q79797,Armenians,Male,214
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Male,62
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q101452272,Azerbaijanis,Unknown / not stated,29
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q79797,Armenians,Female,24
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Unknown / not stated,19
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q101452272,Azerbaijanis,Male,19
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q101452272,Azerbaijanis,Female,10
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q79797,Armenians,Unknown / not stated,9
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Female,8
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q7325,Jewish people,Male,5
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q10290517,Talysh people,Unknown / not stated,2
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q10290517,Talysh people,Male,2
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q227,Azerbaijan,Female,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q49542,Russians,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q1129737,Lezgins,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q2356912,Azerbaijanis in Ukraine,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q628490,Mountain Jews,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q2426677,Iranian Azerbaijanis,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q1129737,Lezgins,Unknown / not stated,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q539051,Greeks,Female,1
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q4115738,Persians in Bahrain,Male,1
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q4783159,Arab Canadians,Female,1
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q35323,Arabs,Male,1
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q7125803,Pakistani Americans,Female,1
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q402913,Bengali,Unknown / not stated,5
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q4855428,Bangladeshis,Male,3
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q4855425,Bangladeshi Americans,Male,2
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q402913,Bengali,Male,2
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q862086,Indians,Male,1
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q4855428,Bangladeshis,Female,1
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q402913,Bengali,Female,1
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q1059355,Chakma people,Unknown / not stated,1
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q49085,African Americans,Male,2
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q49085,African Americans,Female,1
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q4858580,Barbadians,Male,1
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q2050339,Afro Caribbeans,Female,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q483569,Belarusians,Male,55
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q7325,Jewish people,Male,11
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q49542,Russians,Male,8
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q483569,Belarusians,Female,8
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q836076,Lipka Tatars,Male,7
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q32360797,Russian Jews,Male,4
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q1026,Poles,Male,2
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q483569,Belarusians,Unknown / not stated,2
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q4400579,Russians in Belarus,Male,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q235155,white people,Male,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q2500871,Belarusian minority in Poland,Unknown / not stated,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q3918996,Belarusian Americans,Unknown / not stated,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q34069,Ashkenazi Jews,Male,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Female,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q8060,Romani people,Male,1
