country,countryLabel,ageGroup,count
http://www.wikidata.org/entity/Q219,Bulgaria,60+ senior,5273
http://www.wikidata.org/entity/Q965,Burkina Faso,15-24 youth,12
http://www.wikidata.org/entity/Q965,Burkina Faso,25-59 adult,406
http://www.wikidata.org/entity/Q965,Burkina Faso,60+ senior,160
http://www.wikidata.org/entity/Q967,Burundi,0-14 child,1
http://www.wikidata.org/entity/Q967,Burundi,15-24 youth,6
http://www.wikidata.org/entity/Q967,Burundi,25-59 adult,223
http://www.wikidata.org/entity/Q967,Burundi,60+ senior,60
http://www.wikidata.org/entity/Q424,Cambodia,0-14 child,2
http://www.wikidata.org/entity/Q424,Cambodia,15-24 youth,15
http://www.wikidata.org/entity/Q424,Cambodia,25-59 adult,237
http://www.wikidata.org/entity/Q424,Cambodia,60+ senior,163
http://www.wikidata.org/entity/Q1009,Cameroon,15-24 youth,77
http://www.wikidata.org/entity/Q1009,Cameroon,25-59 adult,1847
http://www.wikidata.org/entity/Q1009,Cameroon,60+ senior,485
http://www.wikidata.org/entity/Q16,Canada,0-14 child,32
http://www.wikidata.org/entity/Q16,Canada,15-24 youth,677
http://www.wikidata.org/entity/Q16,Canada,25-59 adult,20469
http://www.wikidata.org/entity/Q16,Canada,60+ senior,15879
http://www.wikidata.org/entity/Q1011,Cape Verde,15-24 youth,2
http://www.wikidata.org/entity/Q1011,Cape Verde,25-59 adult,236
http://www.wikidata.org/entity/Q1011,Cape Verde,60+ senior,86
http://www.wikidata.org/entity/Q929,Central African Republic,15-24 youth,7
http://www.wikidata.org/entity/Q929,Central African Republic,25-59 adult,134
http://www.wikidata.org/entity/Q929,Central African Republic,60+ senior,59
http://www.wikidata.org/entity/Q657,Chad,15-24 youth,3
http://www.wikidata.org/entity/Q657,Chad,25-59 adult,165
http://www.wikidata.org/entity/Q657,Chad,60+ senior,76
http://www.wikidata.org/entity/Q298,Chile,0-14 child,1
http://www.wikidata.org/entity/Q298,Chile,15-24 youth,124
http://www.wikidata.org/entity/Q298,Chile,25-59 adult,4422
http://www.wikidata.org/entity/Q298,Chile,60+ senior,2837
http://www.wikidata.org/entity/Q739,Colombia,15-24 youth,221
http://www.wikidata.org/entity/Q739,Colombia,25-59 adult,5497
http://www.wikidata.org/entity/Q739,Colombia,60+ senior,2100
http://www.wikidata.org/entity/Q970,Comoros,15-24 youth,18
http://www.wikidata.org/entity/Q970,Comoros,25-59 adult,75
http://www.wikidata.org/entity/Q970,Comoros,60+ senior,29
http://www.wikidata.org/entity/Q800,Costa Rica,15-24 youth,42
http://www.wikidata.org/entity/Q800,Costa Rica,25-59 adult,964
http://www.wikidata.org/entity/Q800,Costa Rica,60+ senior,434
http://www.wikidata.org/entity/Q224,Croatia,0-14 child,1
http://www.wikidata.org/entity/Q224,Croatia,15-24 youth,138
http://www.wikidata.org/entity/Q224,Croatia,25-59 adult,4185
http://www.wikidata.org/entity/Q224,Croatia,60+ senior,2246
http://www.wikidata.org/entity/Q241,Cuba,0-14 child,1
http://www.wikidata.org/entity/Q241,Cuba,15-24 youth,37
http://www.wikidata.org/entity/Q241,Cuba,25-59 adult,1908
http://www.wikidata.org/entity/Q241,Cuba,60+ senior,1513
http://www.wikidata.org/entity/Q229,Cyprus,0-14 child,2
http://www.wikidata.org/entity/Q229,Cyprus,15-24 youth,47
http://www.wikidata.org/entity/Q229,Cyprus,25-59 adult,863
http://www.wikidata.org/entity/Q229,Cyprus,60+ senior,683
http://www.wikidata.org/entity/Q213,Czech Republic,0-14 child,23
http://www.wikidata.org/entity/Q213,Czech Republic,15-24 youth,724
http://www.wikidata.org/entity/Q213,Czech Republic,25-59 adult,30615
http://www.wikidata.org/entity/Q213,Czech Republic,60+ senior,40986
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,15-24 youth,27
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,25-59 adult,1370
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,60+ senior,564
http://www.wikidata.org/entity/Q35,Denmark,0-14 child,1
http://www.wikidata.org/entity/Q35,Denmark,15-24 youth,571
http://www.wikidata.org/entity/Q35,Denmark,25-59 adult,5726
http://www.wikidata.org/entity/Q35,Denmark,60+ senior,4038
http://www.wikidata.org/entity/Q977,Djibouti,25-59 adult,44
http://www.wikidata.org/entity/Q977,Djibouti,60+ senior,32
http://www.wikidata.org/entity/Q784,Dominica,15-24 youth,2
http://www.wikidata.org/entity/Q784,Dominica,25-59 adult,74
http://www.wikidata.org/entity/Q784,Dominica,60+ senior,56
http://www.wikidata.org/entity/Q786,Dominican Republic,0-14 child,1
http://www.wikidata.org/entity/Q786,Dominican Republic,15-24 youth,56
http://www.wikidata.org/entity/Q786,Dominican Republic,25-59 adult,1746
