Country,Ethnic Group,Gender,Count
Benin,Pedah: hommes de l'eau,Female,1
Benin,Saxwe,Female,1
Benin,Yoruba people,Female,1
Bermuda,Black Bermudian,Female,1
Bolivia,Afro-Bolivians,Female,4
Bolivia,Aymara,Female,8
Bolivia,Aymara,Male,3
Bolivia,Bolivian Americans,Male,1
Bolivia,Bolivians,Male,1
Bolivia,Japanese Bolivians,Female,1
Bolivia,Minangkabau,Male,1
Bolivia,Quechua people,Female,3
Bolivia,Quechua people,Male,1
Bolivia,Swiss,Female,1
Bolivia,Urus,Female,1
Bolivia,White Brazilians,Male,3
Bosnia and Herzegovina,Bosniaks,Female,2
Bosnia and Herzegovina,Bosniaks,Male,2
Bosnia and Herzegovina,Bosniaks,Unknown,1
Bosnia and Herzegovina,Bosnians,Male,2
Bosnia and Herzegovina,Bosnians,Unknown,2
Bosnia and Herzegovina,Croats,Female,1
Bosnia and Herzegovina,Croats,Male,9
Bosnia and Herzegovina,Croats of Bosnia and Herzegovina,Female,1
Bosnia and Herzegovina,Croats of Bosnia and Herzegovina,Male,11
Bosnia and Herzegovina,Croats of Bosnia and Herzegovina,Unknown,10
Bosnia and Herzegovina,Germans,Male,1
Bosnia and Herzegovina,Gurbeti,Female,1
Bosnia and Herzegovina,Jewish people,Female,1
Bosnia and Herzegovina,Jewish people,Male,1
Bosnia and Herzegovina,Poles,Male,1
Bosnia and Herzegovina,Sephardi Jews,Female,1
Bosnia and Herzegovina,Serbian Canadians,Unknown,1
Bosnia and Herzegovina,Serbs,Female,1
Bosnia and Herzegovina,Serbs,Male,2
Bosnia and Herzegovina,Serbs,Unknown,11
Bosnia and Herzegovina,Serbs of Bosnia and Herzegovina,Female,2
Bosnia and Herzegovina,Serbs of Bosnia and Herzegovina,Male,1
Bosnia and Herzegovina,Serbs of Bosnia and Herzegovina,Unknown,24
Botswana,Balete people,Female,1
Botswana,Bantu people,Male,1
Botswana,Birwa,Male,1
Botswana,Kalanga,Female,1
Botswana,Khoisan,Female,2
Botswana,Mbukushu,Female,1
Botswana,San people,Female,3
Brazil,African Americans,Female,6
Brazil,African Americans,Male,7
Brazil,African Americans,Unknown,1
Brazil,African Brazilians,Female,189
Brazil,African Brazilians,Male,342
Brazil,African Brazilians,Non-binary or other,6
Brazil,African Brazilians,Unknown,7
Brazil,Asian Brazilians,Female,1
Brazil,Asian Brazilians,Male,8
Brazil,Black people,Female,52
Brazil,Black people,Male,54
Brazil,Black people,Non-binary or other,1
Brazil,Caboclo,Female,9
Brazil,Caboclo,Male,1
Brazil,German Brazilians,Female,5
Brazil,German Brazilians,Male,4
Brazil,Italian Brazilians,Female,12
Brazil,Italian Brazilians,Male,20
Brazil,Japanese Brazilians,Female,5
Brazil,Japanese Brazilians,Male,9
Brazil,Pardo Brazilians,Female,153
Brazil,Pardo Brazilians,Male,1307
Brazil,Pardo Brazilians,Non-binary or other,1
Brazil,Portuguese Brazilians,Female,5
Brazil,Portuguese Brazilians,Male,5
Brazil,White Brazilians,Female,380
Brazil,White Brazilians,Male,2286
Brazil,indigenous peoples in Brazil,Female,1
Brazil,indigenous peoples in Brazil,Male,6
Brazil,indigenous peoples in Brazil,Non-binary or other,2
Brunei,Chinese Indonesians,Male,1
Brunei,Malays,Female,1
Bulgaria,Armenians,Male,9
Bulgaria,Armenians in Bulgaria,Female,2
Bulgaria,Armenians in Bulgaria,Male,5
Bulgaria,Bulgarians,Female,2
Bulgaria,Bulgarians,Male,18
Bulgaria,Greeks,Female,2
Bulgaria,Jewish people,Male,2
Bulgaria,Jewish people in Bulgaria,Male,7
Bulgaria,Macedonian Bulgarians,Male,3
Bulgaria,Macedonians,Female,1
Bulgaria,Macedonians,Male,7
Bulgaria,Roma in Bulgaria,Female,3
Bulgaria,Roma in Bulgaria,Male,8
Bulgaria,Romani people,Female,1
Bulgaria,Romani people,Male,2
Bulgaria,Turks in Bulgaria,Female,2
