Country,Age Group,Count
Egypt,60+ senior,1807
El Salvador,15-24 youth,8
El Salvador,25-59 adult,512
El Salvador,60+ senior,282
Equatorial Guinea,15-24 youth,18
Equatorial Guinea,25-59 adult,156
Equatorial Guinea,60+ senior,56
Eritrea,15-24 youth,2
Eritrea,25-59 adult,132
Eritrea,60+ senior,70
Estonia,15-24 youth,150
Estonia,25-59 adult,5349
Estonia,60+ senior,6858
Eswatini,15-24 youth,5
Eswatini,25-59 adult,87
Eswatini,60+ senior,15
Ethiopia,15-24 youth,17
Ethiopia,25-59 adult,671
Ethiopia,60+ senior,197
Falkland Islands,25-59 adult,10
Falkland Islands,60+ senior,12
Faroe Islands,15-24 youth,12
Faroe Islands,25-59 adult,273
Faroe Islands,60+ senior,175
Federated States of Micronesia,25-59 adult,24
Federated States of Micronesia,60+ senior,11
Fiji,15-24 youth,10
Fiji,25-59 adult,569
Fiji,60+ senior,91
Finland,0-14 child,1
Finland,15-24 youth,230
Finland,25-59 adult,7564
Finland,60+ senior,5125
France,0-14 child,11
France,15-24 youth,1342
France,25-59 adult,34975
France,60+ senior,34552
Gabon,15-24 youth,19
Gabon,25-59 adult,264
Gabon,60+ senior,96
Georgia,0-14 child,1
Georgia,15-24 youth,51
Georgia,25-59 adult,2456
Georgia,60+ senior,2405
Germany,0-14 child,32
Germany,15-24 youth,1960
Germany,25-59 adult,62166
Germany,60+ senior,77940
Ghana,0-14 child,2
Ghana,15-24 youth,111
Ghana,25-59 adult,2104
Ghana,60+ senior,786
Greece,0-14 child,8
Greece,15-24 youth,187
Greece,25-59 adult,5820
Greece,60+ senior,4702
Greenland,15-24 youth,1
Greenland,25-59 adult,98
Greenland,60+ senior,102
Grenada,15-24 youth,2
Grenada,25-59 adult,118
Grenada,60+ senior,53
Guatemala,0-14 child,1
Guatemala,15-24 youth,17
Guatemala,25-59 adult,553
Guatemala,60+ senior,297
Guernsey,15-24 youth,2
Guernsey,25-59 adult,30
Guernsey,60+ senior,16
Guinea,15-24 youth,40
Guinea,25-59 adult,517
Guinea,60+ senior,178
Guinea-Bissau,15-24 youth,21
Guinea-Bissau,25-59 adult,206
Guinea-Bissau,60+ senior,71
Guyana,15-24 youth,3
Guyana,25-59 adult,254
Guyana,60+ senior,174
Haiti,15-24 youth,28
Haiti,25-59 adult,622
Haiti,60+ senior,320
Honduras,15-24 youth,20
Honduras,25-59 adult,742
Honduras,60+ senior,197
Hong Kong,60+ senior,1
Hungary,0-14 child,10
Hungary,15-24 youth,306
Hungary,25-59 adult,9801
Hungary,60+ senior,10556
Iceland,15-24 youth,38
Iceland,25-59 adult,1082
Iceland,60+ senior,503
India,0-14 child,12
India,15-24 youth,416
India,25-59 adult,13899
India,60+ senior,9763
Indonesia,0-14 child,27
Indonesia,15-24 youth,492
Indonesia,25-59 adult,15704
Indonesia,60+ senior,7675
Iran,0-14 child,5
Iran,15-24 youth,355
Iran,25-59 adult,6571
Iran,60+ senior,4388
Iraq,15-24 youth,24
Iraq,25-59 adult,1179
Iraq,60+ senior,1661
Ireland,15-24 youth,111
Ireland,25-59 adult,4724
Ireland,60+ senior,2615
Isle of Man,15-24 youth,2
Isle of Man,25-59 adult,52
Isle of Man,60+ senior,38
Israel,0-14 child,2
Israel,15-24 youth,255
Israel,25-59 adult,7845
Israel,60+ senior,6884
Italy,0-14 child,12
Italy,15-24 youth,1101
Italy,25-59 adult,32805
Italy,60+ senior,35621
Ivory Coast,15-24 youth,86
Ivory Coast,25-59 adult,1327
Ivory Coast,60+ senior,312
Jamaica,15-24 youth,20
Jamaica,25-59 adult,1198
Jamaica,60+ senior,710
Japan,0-14 child,31
